1.0.0	ACT I
1.1.51	For nought but provender, and when he's old, cashier'd: 
1.1.52	Whip me such honest knaves. Others there are 
1.1.53	Who, trimm'd in forms and visages of duty, 
1.1.54	Keep yet their hearts attending on themselves, 
1.1.55	And, throwing but shows of service on their lords, 
1.1.56	Do well thrive by them and when they have lined their coats 
1.1.57	Do themselves homage: these fellows have some soul; 
1.1.58	And such a one do I profess myself. For, sir, 
1.1.59	It is as sure as you are Roderigo, 
1.1.60	Were I the Moor, I would not be Iago: 
1.1.61	In following him, I follow but myself; 
1.1.62	Heaven is my judge, not I for love and duty, 
1.1.63	But seeming so, for my peculiar end: 
1.1.64	For when my outward action doth demonstrate 
1.1.65	The native act and figure of my heart 
1.1.66	In compliment extern, 'tis not long after 
1.1.67	But I will wear my heart upon my sleeve 
1.1.68	For daws to peck at: I am not what I am. 
1.1.69	What a full fortune does the thicklips owe, 
1.1.70	If he can carry't thus! 
1.1.71	Call up her father, 
1.1.72	Rouse him: make after him, poison his delight, 
1.1.73	Proclaim him in the streets; incense her kinsmen, 
1.1.74	And, though he in a fertile climate dwell, 
1.1.75	Plague him with flies: though that his joy be joy, 
1.1.76	Yet throw such changes of vexation on't, 
1.1.77	As it may lose some color. 
1.1.78	Here is her father's house; I'll call aloud. 
1.1.79	Do, with like timorous accent and dire yell 
1.1.80	As when, by night and negligence, the fire 
1.1.81	Is spied in populous cities. 
1.1.82	What, ho, Brabantio! Signior Brabantio, ho! 
1.1.83	Awake! what, ho, Brabantio! thieves! thieves! thieves! 
1.1.84	Look to your house, your daughter and your bags! 
1.1.85	Thieves! thieves! BRABANTIO appears above, at a window. 
1.1.86	What is the reason of this terrible summons? 
1.1.87	What is the matter there? 
1.1.88	Signior, is all your family within? 
1.1.89	Are your doors lock'd? 
1.1.90	Why, wherefore ask you this? 
1.1.91	'Zounds, sir, you're robb'd; for shame, put on your gown; 
1.1.92	Your heart is burst, you have lost half your soul; 
1.1.93	Even now, now, very now, an old black ram 
1.1.94	Is tupping your white ewe. Arise, arise; 
1.1.95	Awake the snorting citizens with the bell, 
1.1.96	Or else the devil will make a grandsire of you: 
1.1.97	Arise, I say. 
1.1.98	What, have you lost your wits? 
1.1.99	Most reverend signior, do you know my voice? 
1.1.100	Not I: what are you? 
1.1.101	My name is Roderigo. 
1.1.102	The worser welcome: 
1.1.103	I have charged thee not to haunt about my doors: 
1.1.104	In honest plainness thou hast heard me say 
1.1.105	My daughter is not for thee; and now, in madness, 
1.1.106	Being full of supper and distempering draughts, 
1.1.107	Upon malicious bravery, dost thou come 
1.1.108	To start my quiet. 
1.1.109	Sir, sir, sir,-- 
1.1.110	But thou must needs be sure 
1.1.111	My spirit and my place have in them power 
1.1.112	To make this bitter to thee. 
1.1.113	Patience, good sir. 
1.1.114	What tell'st thou me of robbing? this is Venice; 
1.1.115	My house is not a grange. 
1.1.116	Most grave Brabantio, 
1.1.117	In simple and pure soul I come to you. 
1.1.118	'Zounds, sir, you are one of those that will not serve God, if the devil bid you. Because we come to do you service and you think we are ruffians, you'll have your daughter covered with a Barbary horse; you'll have your nephews neigh to you; you'll have coursers for cousins and gennets for germans. 
1.1.119	What profane wretch art thou? 
1.1.120	I am one, sir, that comes to tell you your daughter and the Moor are now making the beast with two backs. 
1.1.121	Thou art a villain. 
1.1.122	You are--a senator. 
1.1.123	This thou shalt answer; I know thee, Roderigo. 
1.1.124	Sir, I will answer any thing. But, I beseech you, 
1.1.125	If 't be your pleasure and most wise consent, 
1.1.126	As partly I find it is, that your fair daughter, 
1.1.127	At this odd-even and dull watch o' the night, 
1.1.128	Transported, with no worse nor better guard 
1.1.129	But with a knave of common hire, a gondolier, 
1.1.130	To the gross clasps of a lascivious Moor,-- 
1.1.131	If this be known to you and your allowance, 
1.1.132	We then have done you bold and saucy wrongs; 
1.1.133	But if you know not this, my manners tell me 
1.1.134	We have your wrong rebuke. Do not believe 
1.1.135	That, from the sense of all civility, 
1.1.136	I thus would play and trifle with your reverence: 
1.1.137	Your daughter, if you have not given her leave, 
1.1.138	I say again, hath made a gross revolt; 
1.1.139	Tying her duty, beauty, wit and fortunes 
1.1.140	In an extravagant and wheeling stranger 
1.1.141	Of here and every where. Straight satisfy yourself: 
1.1.142	If she be in her chamber or your house, 
1.1.143	Let loose on me the justice of the state 
1.1.144	For thus deluding you. 
1.1.145	Strike on the tinder, ho! 
1.1.146	Give me a taper! call up all my people! 
1.1.147	This accident is not unlike my dream: 
1.1.148	Belief of it oppresses me already. 
1.1.149	Light, I say! light! [Exit above. 
1.1.150	Farewell; for I must leave you: 
1.1.151	It seems not meet, nor wholesome to my place, 
1.1.152	To be produced--as, if I stay, I shall-- 
1.1.153	Against the Moor: for, I do know, the state, 
1.1.154	However this may gall him with some check, 
1.1.155	Cannot with safety cast him, for he's embark'd 
1.1.156	With such loud reason to the Cyprus wars, 
1.1.157	Which even now stand in act, that, for their souls, 
1.1.158	Another of his fathom they have none, 
1.1.159	To lead their business: in which regard, 
1.1.160	Though I do hate him as I do hell-pains, 
1.1.161	Yet, for necessity of present life, 
1.1.162	I must show out a flag and sign of love, 
1.1.163	Which is indeed but sign. That you shall surely find him, 
1.1.164	Lead to the Sagittary the raised search; 
1.1.165	And there will I be with him. So, farewell. [Exit. Enter, below, BRABANTIO, and Servants with torches. 
1.1.166	It is too true an evil: gone she is; 
1.1.167	And what's to come of my despised time 
1.1.168	Is nought but bitterness. Now, Roderigo, 
1.1.169	Where didst thou see her? O unhappy girl! 
1.1.170	With the Moor, say'st thou? Who would be a father! 
1.1.171	How didst thou know 'twas she? O, she deceives me 
1.1.172	Past thought! What said she to you? Get more tapers: 
1.1.173	Raise all my kindred. Are they married, think you? 
1.1.174	Truly, I think they are. 
1.1.175	O heaven! How got she out? O treason of the blood! 
1.1.176	Fathers, from hence trust not your daughters' minds 
1.1.177	By what you see them act. Is there not charms 
1.1.178	By which the property of youth and maidhood 
1.1.179	May he abused? Have you not read, Roderigo, 
1.1.180	Of some such thing? 
1.1.181	Yes, sir, I have indeed. 
1.1.182	Call up my brother. O, would you had had her! 
1.1.183	Some one way, some another. Do you know 
1.1.184	Where we may apprehend her and the Moor? 
1.1.185	I think I can discover him, if you please 
1.1.186	To get good guard and go along with me. 
1.1.187	Pray you, lead on. At every house I'll call; 
1.1.188	I may command at most. Get weapons, ho! 
1.1.189	And raise some special officers of night. 
1.1.190	On, good Roderigo: I'll deserve your pains. [Exeunt. 
1.2.1	Another street. 
1.2.2	Enter OTHELLO, IAGO, and Attendants with torches.
1.2.3	Though in the trade of war I have slain men, 
1.2.4	Yet do I hold it very stuff o' the conscience 
1.2.5	To do no contrived murder: I lack iniquity 
1.2.6	Sometimes to do me service: nine or ten times 
1.2.7	I had thought to have yerk'd him here under the ribs. 
1.2.8	'Tis better as it is. 
1.2.9	Nay, but he prated, 
1.2.10	And spoke such scurvy and provoking terms 
1.2.11	Against your honor 
1.2.12	That, with the little godliness I have, 
1.2.13	I did full hard forbear him. But, I pray you, sir, 
1.2.14	Are you fast married? Be assured of this, 
1.2.15	That the magnifico is much beloved, 
1.2.16	And hath in his effect a voice potential 
1.2.17	As double as the duke's: he will divorce you; 
1.2.18	Or put upon you what restraint and grievance 
1.2.19	The law, with all his might to enforce it on, 
1.2.20	Will give him cable. 
1.2.21	Let him do his spite; 
1.2.22	My services which I have done the signiory 
1.2.23	Shall out-tongue his complaints. 'Tis yet to know,-- 
1.2.24	Which, when I know that boasting is an honor, 
1.2.25	I shall promulgate--I fetch my life and being 
1.2.26	>From men of royal siege, and my demerits 
1.2.27	May speak unbonneted to as proud a fortune 
1.2.28	As this that I have reach'd: for know, Iago, 
1.2.29	But that I love the gentle Desdemona, 
1.2.30	I would not my unhoused free condition 
1.2.31	Put into circumscription and confine 
1.2.32	For the sea's worth. But, look! what lights come yond? 
1.2.33	Those are the raised father and his friends: 
1.2.34	You were best go in. 
1.2.35	Not I; I must be found: 
1.2.36	My parts, my title and my perfect soul 
1.2.37	Shall manifest me rightly. Is it they? 
1.2.38	By Janus, I think no. Enter CASSIO, and certain Officers with torches. 
1.2.39	The servants of the duke, and my lieutenant. 
1.2.40	The goodness of the night upon you, friends! 
1.2.41	What is the news? 
1.2.42	The duke does greet you, general, 
1.2.43	And he requires your haste-post-haste appearance, 
1.2.44	Even on the instant. 
1.2.45	What is the matter, think you? 
1.2.46	Something from Cyprus, as I may divine: 
1.2.47	It is a business of some heat: the galleys 
1.2.48	Have sent a dozen sequent messengers 
1.2.49	This very night at one another's heels, 
1.2.50	And many of the consuls raised and met, 
1.2.51	Are at the duke's already: you have been hotly call'd for; 
1.2.52	When, being not at your lodging to be found, 
1.2.53	The senate hath sent about three several quests 
1.2.54	To search you out. 
1.2.55	'Tis well I am found by you. 
1.2.56	I will but spend a word here in the house, 
1.2.57	And go with you. [Exit. 
1.2.58	Ancient, what makes he here? 
1.2.59	'Faith, he to-night hath boarded a land carack: 
1.2.60	If it prove lawful prize, he's made for ever. 
1.2.61	I do not understand. 
1.2.62	He's married. 
1.2.63	To who? Re-enter OTHELLO. 
1.2.64	Marry, to--Come, captain, will you go? 
1.2.65	Have with you. 
1.2.66	Here comes another troop to seek for you. 
1.2.67	It is Brabantio. General, be advised; 
1.2.68	He comes to bad intent. Enter BRABANTIO, RODERIGO, and Officers with torches and weapons. 
1.2.69	Holla! stand there! 
1.2.70	Signior, it is the Moor. 
1.2.71	Down with him, thief! [They draw on both sides. 
1.2.72	You, Roderigo! come, sir, I am for you. 
1.2.73	Keep up your bright swords, for the dew will rust them. 
1.2.74	Good signior, you shall more command with years 
1.2.75	Than with your weapons. 
1.2.76	O thou foul thief, where hast thou stow'd my daughter? 
1.2.77	Damn'd as thou art, thou hast enchanted her; 
1.2.78	For I'll refer me to all things of sense, 
1.2.79	If she in chains of magic were not bound, 
1.2.80	Whether a maid so tender, fair and happy, 
1.2.81	So opposite to marriage that she shunn'd 
1.2.82	The wealthy curled darlings of our nation, 
1.2.83	Would ever have, to incur a general mock, 
1.2.84	Run from her guardage to the sooty bosom 
1.2.85	Of such a thing as thou, to fear, not to delight. 
1.2.86	Judge me the world, if 'tis not gross in sense 
1.2.87	That thou hast practised on her with foul charms, 
1.2.88	Abused her delicate youth with drugs or minerals 
1.2.89	That weaken motion: I'll have't disputed on; 
1.2.90	'Tis probable and palpable to thinking. 
1.2.91	I therefore apprehend and do attach thee 
1.2.92	For an abuser of the world, a practiser 
1.2.93	Of arts inhibited and out of warrant. 
1.2.94	Lay hold upon him: if he do resist, 
1.2.95	Subdue him at his peril. 
1.2.96	Hold your hands, 
1.2.97	Both you of my inclining, and the rest: 
1.2.98	Were it my cue to fight, I should have known it 
1.2.99	Without a prompter. Where will you that I go 
1.2.100	To answer this your charge? 
1.2.101	To prison, till fit time 
1.2.102	Of law and course of direct session 
1.2.103	Call thee to answer. 
1.2.104	What if I do obey? 
1.2.105	How may the duke be therewith satisfied, 
1.2.106	Whose messengers are here about my side, 
1.2.107	Upon some present business of the state 
1.2.108	To bring me to him?
1.2.109	'Tis true, most worthy signior; 
1.2.110	The duke's in council, and your noble self, 
1.2.111	I am sure, is sent for. 
1.2.112	How! the duke in council! 
1.2.113	In this time of the night! Bring him away: 
1.2.114	Mine's not an idle cause: the duke himself, 
1.2.115	Or any of my brothers of the state, 
1.2.116	Cannot but feel this wrong as 'twere their own; 
1.2.117	For if such actions may have passage free, 
1.2.118	Bond-slaves and pagans shall our statesmen be. [Exeunt. 
1.3.1	A council-chamber. The DUKE and Senators sitting at a table; Officers attending. 
1.3.2	There is no composition in these news 
1.3.3	That gives them credit. 
1.3.4	Indeed, they are disproportion'd; 
1.3.5	My letters say a hundred and seven galleys. 
1.3.6	And mine, a hundred and forty. 
1.3.7	And mine, two hundred: 
1.3.8	But though they jump not on a just account,-- 
1.3.9	As in these cases, where the aim reports, 
1.3.10	'Tis oft with difference--yet do they all confirm 
1.3.11	A Turkish fleet, and bearing up to Cyprus. 
1.3.12	Nay, it is possible enough to judgement: 
1.3.13	I do not so secure me in the error, 
1.3.14	But the main articles I do approve 
1.3.15	In fearful sense. 
1.3.16	[Within] What, ho! what, ho! what, ho! 
1.3.17	A messenger from the galleys. Enter a Sailor. 
1.3.18	Now, what's the business? 
1.3.19	The Turkish preparation makes for Rhodes; 
1.3.20	So was I bid report here to the state 
1.3.21	By Signior Angelo. 
1.3.22	How say you by this change? 
1.3.23	This cannot be, 
1.3.24	By no assay of reason: 'tis a pageant, 
1.3.25	To keep us in false gaze. When we consider 
1.3.26	The importancy of Cyprus to the Turk, 
1.3.27	And let ourselves again but understand, 
1.3.28	That as it more concerns the Turk than Rhodes, 
1.3.29	So may he with more facile question bear it, 
1.3.30	For that it stands not in such warlike brace, 
1.3.31	But altogether lacks the abilities 
1.3.32	That Rhodes is dress'd in: if we make thought of this, 
1.3.33	We must not think the Turk is so unskilful 
1.3.34	To leave that latest which concerns him first, 
1.3.35	Neglecting an attempt of ease and gain, 
1.3.36	To wake and wage a danger profitless. 
1.3.37	Nay, in all confidence, he's not for Rhodes. 
1.3.38	Here is more news. Enter a Messenger. 
1.3.39	The Ottomites, reverend and gracious, 
1.3.40	Steering with due course towards the isle of Rhodes, 
1.3.41	Have there injointed them with an after fleet. 
1.3.42	 Ay, so I thought. How many, as you guess? 
1.3.43	 Of thirty sail: and now they do re-stem 
1.3.44	Their backward course, bearing with frank appearance 
1.3.45	Their purposes toward Cyprus. Signior Montano, 
1.3.46	Your trusty and most valiant servitor, 
1.3.47	With his free duty recommends you thus, 
1.3.48	And prays you to believe him. 
1.3.49	'Tis certain, then, for Cyprus. 
1.3.50	Marcus Luccicos, is not he in town? 
1.3.51	He's now in Florence. 
1.3.52	Write from us to him; post-posthaste dispatch. 
1.3.53	Here comes Brabantio and the valiant Moor. Enter BRABANTIO, OTHELLO, IAGO, RODERIGO, and Officers. 
1.3.54	Valiant Othello, we must straight employ you 
1.3.55	Against the general enemy Ottoman. 
1.3.56	[To Brabantio] I did not see you; welcome, gentle signior; 
1.3.57	We lack'd your counsel and your help tonight. 
1.3.58	So did I yours. Good your grace, pardon me; 
1.3.59	Neither my place nor aught I heard of business 
1.3.60	Hath raised me from my bed, nor doth the general care 
1.3.61	Take hold on me, for my particular grief 
1.3.62	Is of so flood-gate and o'erbearing nature 
1.3.63	That it engluts and swallows other sorrows 
1.3.64	And it is still itself. 
1.3.65	Why, what's the matter? 
1.3.66	My daughter! O, my daughter! 
1.3.67	Dead? 
1.3.68	Ay, to me; 
1.3.69	She is abused, stol'n from me, and corrupted 
1.3.70	By spells and medicines bought of mountebanks; 
1.3.71	For nature so preposterously to err, 
1.3.72	Being not deficient, blind, or lame of sense, 
1.3.73	Sans witchcraft could not. 
1.3.74	Whoe'er he be that in this foul proceeding 
1.3.75	Hath thus beguiled your daughter of herself 
1.3.76	And you of her, the bloody book of law 
1.3.77	You shall yourself read in the bitter letter 
1.3.78	After your own sense, yea, though our proper son 
1.3.79	Stood in your action. 
1.3.80	Humbly I thank your grace. 
1.3.81	Here is the man, this Moor, whom now, it seems, 
1.3.82	Your special mandate for the state-affairs 
1.3.83	Hath hither brought. 
1.3.84	We are very sorry for 't. 
1.3.85	[To Othello] What, in your own part, can you say to this? 
1.3.86	Nothing, but this is so. 
1.3.87	Most potent, grave, and reverend signiors, 
1.3.88	My very noble and approved good masters, 
1.3.89	That I have ta'en away this old man's daughter, 
1.3.90	It is most true; true, I have married her: 
1.3.91	The very head and front of my offending 
1.3.92	Hath this extent, no more. Rude am I in my speech, 
1.3.93	And little bless'd with the soft phrase of peace; 
1.3.94	For since these arms of mine had seven years' pith. 
1.3.95	Till now some nine moons wasted, they have used 
1.3.96	Their dearest action in the tented field, 
1.3.97	And little of this great world can I speak, 
1.3.98	More than pertains to feats of broil and battle, 
1.3.99	And therefore little shall I grace my cause 
1.3.100	In speaking for myself. Yet, by your gracious patience, 
1.3.101	I will a round unvarnish'd tale deliver 
1.3.102	Of my whole course of love; what drugs, what charms, 
1.3.103	What conjuration and what mighty magic, 
1.3.104	For such proceeding I am charged withal, 
1.3.105	I won his daughter. 
1.3.106	A maiden never bold; 
1.3.107	Of spirit so still and quiet, that her motion 
1.3.108	Blush'd at herself; and she, in spite of nature, 
1.3.109	Of years, of country, credit, every thing, 
1.3.110	To fall in love with what she fear'd to look on! 
1.3.111	It is a judgement maim'd and most imperfect 
1.3.112	That will confess perfection so could err 
1.3.113	Against all rules of nature, and must be driven 
1.3.114	To find out practices of cunning hell, 
1.3.115	Why this should be. I therefore vouch again 
1.3.116	That with some mixtures powerful o'er the blood, 
1.3.117	Or with some dram conjured to this effect, 
1.3.118	He wrought upon her. 
1.3.119	To vouch this, is no proof, 
1.3.120	Without more wider and more overt test 
1.3.121	Than these thin habits and poor likelihoods 
1.3.122	Of modern seeming do prefer against him. 
1.3.123	First Sen. But, Othello, speak: 
1.3.124	Did you by indirect and forced courses 
1.3.125	Subdue and poison this young maid's affections? 
1.3.126	Or came it by request and such fair question 
1.3.127	As soul to soul affordeth? 
1.3.128	I do beseech you, 
1.3.129	Send for the lady to the Sagittary, 
1.3.130	And let her speak of me before her father: 
1.3.131	If you do find me foul in her report, 
1.3.132	The trust, the office I do hold of you, 
1.3.133	Not only take away, but let your sentence 
1.3.134	Even fall upon my life. 
1.3.135	Fetch Desdemona hither. 
1.3.136	Ancient, conduct them; you best know the place. [Exeunt Iago and Attendants. 
1.3.137	And, till she come, as truly as to heaven 
1.3.138	I do confess the vices of my blood, 
1.3.139	So justly to your grave ears I'll present 
1.3.140	How I did thrive in this fair lady's love, 
1.3.141	And she in mine. 
1.3.142	Say it, Othello. 
1.3.143	Her father loved me; oft invited me; 
1.3.144	Still question'd me the story of my life, 
1.3.145	From year to year, the battles, sieges, fortunes, 
1.3.146	That I have pass'd. 
1.3.147	I ran it through, even from my boyish days, 
1.3.148	To the very moment that he bade me tell it; 
1.3.149	Wherein I spake of most disastrous chances, 
1.3.150	Of moving accidents by flood and field, 
1.3.151	Of hair-breadth scapes i' the imminent deadly breach. 
1.3.152	Of being taken by the insolent foe 
1.3.153	And sold to slavery, of my redemption thence 
1.3.154	And portance in my travels' history: 
1.3.155	Wherein of antres vast and deserts idle, 
1.3.156	Rough quarries, rocks and hills whose heads touch heaven, 
1.3.157	It was my hint to speak,--such was the process; 
1.3.158	And of the Cannibals that each other eat, 
1.3.159	The Anthropophagi and men whose heads 
1.3.160	Do grow beneath their shoulders. This to hear 
1.3.161	Would Desdemona seriously incline: 
1.3.162	But still the house-affairs would draw her thence: 
1.3.163	Which ever as she could with haste dispatch, 
1.3.164	She'ld come again, and with a greedy ear 
1.3.165	Devour up my discourse: which I observing, 
1.3.166	Took once a pliant hour, and found good means 
1.3.167	To draw from her a prayer of earnest heart 
1.3.168	That I would all my pilgrimage dilate, 
1.3.169	Whereof by parcels she had something heard, 
1.3.170	But not intentively: I aid consent, 
1.3.171	And often did beguile her of her tears, 
1.3.172	When I did speak of some distressful stroke 
1.3.173	That my youth suffer'd. My story being done, 
1.3.174	She gave me for my pains a world of sighs: 
1.3.175	She swore, in faith, 'twas strange, 'twas passing strange, 
1.3.176	'Twas pitiful, 'twas wondrous pitiful: 
1.3.177	She wish'd she had not heard it, yet she wish'd 
1.3.178	That heaven had made her such a man: she thank'd me, 
1.3.179	And bade me, if I had a friend that loved her, 
1.3.180	I should but teach him how to tell my story, 
1.3.181	And that would woo her. Upon this hint I spake: 
1.3.182	She loved me for the dangers I had pass'd, 
1.3.183	And I loved her that she did pity them. 
1.3.184	This only is the witchcraft I have used: 
1.3.185	Here comes the lady; let her witness it. Enter DESDEMONA, IAGO, and Attendants. 
1.3.186	I think this tale would win my daughter too. 
1.3.187	Good Brabantio, 
1.3.188	Take up this mangled matter at the best: 
1.3.189	Men do their broken weapons rather use 
1.3.190	Than their bare hands. 
1.3.191	I pray you, hear her speak: 
1.3.192	If she confess that she was half the wooer, 
1.3.193	Destruction on my head, if my bad blame 
1.3.194	Light on the man! Come hither, gentle mistress: 
1.3.195	Do you perceive in all this noble company 
1.3.196	Where most you owe obedience? 
1.3.197	My noble father, 
1.3.198	I do perceive here a divided duty: 
1.3.199	To you I am bound for life and education; 
1.3.200	My life and education both do learn me 
1.3.201	How to respect you; you are the lord of duty; 
1.3.202	I am hitherto your daughter: but here's my husband, 
1.3.203	And so much duty as my mother show'd 
1.3.204	To you, preferring you before her father, 
1.3.205	So much I challenge that I may profess 
1.3.206	Due to the Moor my lord. 
1.3.207	God be wi' you! I have done. 
1.3.208	Please it your grace, on to the state-affairs: 
1.3.209	I had rather to adopt a child than get it. 
1.3.210	Come hither, Moor: 
1.3.211	I here do give thee that with all my heart 
1.3.212	Which, but thou hast already, with all my heart 
1.3.213	I would keep from thee. For your sake, jewel, 
1.3.214	I am glad at soul I have no other child; 
1.3.215	For thy escape would teach me tyranny, 
1.3.216	To hang clogs on them. I have done, my lord. 
1.3.217	Let me speak like yourself, and lay a sentence, 
1.3.218	Which, as a grise or step, may help these lovers 
1.3.219	Into your favor. 
1.3.220	When remedies are past, the griefs are ended 
1.3.221	By seeing the worst, which late on hopes depended. 
1.3.222	To mourn a mischief that is past and gone 
1.3.223	Is the next way to draw new mischief on. 
1.3.224	What cannot be preserved when fortune takes 
1.3.225	Patience her injury a mockery makes. 
1.3.226	The robb'd that smiles steals something from the thief; 
1.3.227	He robs himself that spends a bootless grief. 
1.3.228	So let the Turk of Cyprus us beguile; 
1.3.229	We lose it not, so long as we can smile. 
1.3.230	He bears the sentence well that nothing bears 
1.3.231	But the free comfort which from thence he hears, 
1.3.232	But he bears both the sentence and the sorrow 
1.3.233	That, to pay grief, must of poor patience borrow. 
1.3.234	These sentences, to sugar, or to gall, 
1.3.235	Being strong on both sides, are equivocal: 
1.3.236	But words are words; I never yet did hear 
1.3.237	That the bruised heart was pierced through the ear. 
1.3.238	I humbly beseech you, proceed to the affairs of state. 
1.3.239	The Turk with a most mighty preparation makes for Cyprus. Othello, the fortitude of the place is best known to you; and though we have there a substitute of most allowed sufficiency, yet opinion, a sovereign mistress of effects, throws a more safer voice on you: you must therefore be content to slubber the gloss of your new fortunes with this more stubborn and boisterous expedition. 
1.3.240	The tyrant custom, most grave senators, 
1.3.241	Hath made the flinty and steel couch of war 
1.3.242	My thrice-driven bed of down: I do agnize 
1.3.243	A natural and prompt alacrity 
1.3.244	I find in hardness, and do undertake 
1.3.245	These present wars against the Ottomites. 
1.3.246	Most humbly therefore bending to your state, 
1.3.247	I crave fit disposition for my wife, 
1.3.248	Due reference of place and exhibition, 
1.3.249	With such accommodation and besort 
1.3.250	As levels with her breeding.
1.3.251	If you please, 
1.3.252	Be't at her father's. 
1.3.253	I'll not have it so. 
1.3.254	Nor I. 
1.3.255	Nor I; I would not there reside, 
1.3.256	To put my father in impatient thoughts 
1.3.257	By being in his eye. Most gracious duke, 
1.3.258	To my unfolding lend your prosperous ear; 
1.3.259	And let me find a charter in your voice, 
1.3.260	To assist my simpleness. 
1.3.261	What would you, Desdemona? 
1.3.262	That I did love the Moor to live with him, 
1.3.263	My downright violence and storm of fortunes 
1.3.264	May trumpet to the world: my heart's subdued 
1.3.265	Even to the very quality of my lord: 
1.3.266	I saw Othello's visage in his mind, 
1.3.267	And to his honors and his valiant parts 
1.3.268	Did I my soul and fortunes consecrate. 
1.3.269	So that, dear lords, if I be left behind, 
1.3.270	A moth of peace, and he go to the war, 
1.3.271	The rites for which I love him are bereft me, 
1.3.272	And I a heavy interim shall support 
1.3.273	By his dear absence. Let me go with him. 
1.3.274	Let her have your voices. 
1.3.275	Vouch with me, heaven, I therefore beg it not, 
1.3.276	To please the palate of my appetite, 
1.3.277	Nor to comply with heat--the young affects 
1.3.278	In me defunct--and proper satisfaction, 
1.3.279	But to be free and bounteous to her mind: 
1.3.280	And heaven defend your good souls, that you think 
1.3.281	I will your serious and great business scant 
1.3.282	For she is with me: no, when light-wing'd toys 
1.3.283	Of feather'd Cupid seel with wanton dullness 
1.3.284	My speculative and officed instruments, 
1.3.285	That my disports corrupt and taint my business, 
1.3.286	Let housewives make a skillet of my helm, 
1.3.287	And all indign and base adversities 
1.3.288	Make head against my estimation! 
1.3.289	Be it as you shall privately determine, 
1.3.290	Either for her stay or going: the affair cries haste, 
1.3.291	And speed must answer it. 
1.3.292	You must away to-night. 
1.3.293	With all my heart. 
1.3.294	At nine i' the morning here we'll meet again. 
1.3.295	Othello, leave some officer behind, 
1.3.296	And he shall our commission bring to you; 
1.3.297	With such things else of quality and respect 
1.3.298	As doth import you. 
1.3.299	So please your grace, my ancient; 
1.3.300	A man he is of honesty and trust: 
1.3.301	To his conveyance I assign my wife, 
1.3.302	With what else needful your good grace shall think 
1.3.303	To be sent after me. 
1.3.304	Let it be so. 
1.3.305	Good night to every one. [To Bra.] And, noble signior, 
1.3.306	If virtue no delighted beauty lack, 
1.3.307	Your son-in-law is far more fair than black. 
1.3.308	Adieu, brave Moor; use Desdemona well. 
1.3.309	Look to her, Moor, if thou hast eyes to see: 
1.3.310	She has deceived her father, and may thee. [Exeunt Duke, Senators, Officers, &c. 
1.3.311	My life upon her faith! Honest Iago, 
1.3.312	My Desdemona must I leave to thee: 
1.3.313	I prithee, let thy wife attend on her; 
1.3.314	And bring them after in the best advantage. 
1.3.315	Come Desdemona; I have but an hour 
1.3.316	Of love, of worldly matters and direction, 
1.3.317	To spend with thee: we must obey the time. [Exeunt Othello and Desdemona. 
1.3.318	Iago,-- 
1.3.319	What say'st thou, noble heart? 
